,individual,1st_photo,last_photo,bad_picture
241,SP05-ETL_220526_CR09_None_0468-F168-00,P1120011,NA,not all leaves measured
242,SP05-ETL_220526_CR09_None_0468-F169-00,P1120014,NA,
243,SP05-ETL_220526_CR09_None_0468-F170-00,P1120015,NA,
244,SP05-ETL_220526_CR09_None_0468-F171-00,P1120023,NA,one leaf not measured
245,SP05-ETL_220531_OG42_None_0571-F172-00,P1120252,NA,
246,SP05-ETL_220531_OG42_None_0571-F172-00,P1120254,NA,
247,SP05-ETL_220531_OG42_None_0571-F172-00,P1120256,NA,
248,SP05-ETL_220531_OG42_None_0571-F172-00,P1120257,NA,not recognize
249,SP05-ETL_220531_OG42_None_0571-F172-00,P1120258,NA,
250,SP05-ETL_220531_OG42_None_0571-F172-00,P1120259,NA,
251,SP05-ETL_220531_OG42_None_0571-F173-00,P1120260,NA,
252,SP05-ETL_220531_OG42_None_0571-F174-00,P1120264,NA,
253,SP05-ETL_220531_OG42_None_0571-F175-00,P1120269,NA,"one leaf not measured, shadow, square not correct"
254,SP05-ETL_220531_OG42_None_0571-F176-00,P1120272,NA,no square recognized
255,SP05-ETL_220531_OG42_None_0571-F177-00,P1120273,NA,wrong
256,SP05-ETL_220531_OG42_None_0571-F178-00,P1120277,NA,
257,SP05-ETL_220531_OG42_None_0571-F179-00,P1120284,NA,
258,SP05-ETL_220531_OG42_None_0571-F179-00,P1120285,NA,margin shadows
259,SP05-ETL_220531_OG42_None_0571-F180-00,P1120288,NA,
260,SP05-ETL_220531_OG42_None_0571-F180-00,P1120289,NA,margin shadow
261,SP05-ETL_220531_OG42_None_0571-F181-00,P1120293,NA,two leaves not recognized
262,SP05-ETL_220531_OG42_None_0571-F182-00,P1120296,NA,not good
263,SP05-ETL_220531_OG42_None_0571-F183-00,P1120297,NA,shadow
264,SP05-ETL_220531_OG42_None_0571-F184-00,P1120298,NA,
265,SP05-ETL_220531_OG42_None_0571-F185-00,P1120301,NA,reflection 
266,SP05-ETL_220531_OG42_None_0571-F185-00,P1120302,NA,
267,SP05-ETL_220531_OG42_None_0571-F186-00,P1120308,NA,not all leaves measured
268,SP05-ETL_220601_PR27_None_0576-F187-00,P6020944,NA,
269,SP05-ETL_220601_PR27_None_0576-F188-00,P6020946,NA,
270,SP05-ETL_220601_PR27_None_0576-F188-00,P6020947,NA,
271,SP05-ETL_220601_PR27_None_0576-F189-00,P6020948,NA,
272,SP05-ETL_220601_PR27_None_0576-F189-00,P6020949,NA,
273,SP05-ETL_220601_PR27_None_0576-F190-00,P6020950,NA,
274,SP05-ETL_220601_PR27_None_0576-F190-00,P6020951,NA,
275,SP05-ETL_220601_PR27_None_0576-F191-00,P6020954,NA,
276,SP05-ETL_220601_PR27_None_0576-F192-00,P6020955,NA,
